Frequency (Hz)	Level (dB)
283.203125	-58.372410
284.179688	-59.794308
285.156250	-58.838043
286.132812	-58.875011
287.109375	-60.109035
288.085938	-58.791073
289.062500	-59.974449
290.039062	-60.542301
291.015625	-60.580872
291.992188	-60.871468
292.968750	-61.015644
293.945312	-60.936153
294.921875	-61.972988
295.898438	-62.963963
296.875000	-62.678127
297.851562	-63.895088
298.828125	-63.375637
299.804688	-63.073547
300.781250	-64.185196
301.757812	-64.227699
302.734375	-63.047718
303.710938	-64.389374
304.687500	-65.151451
305.664062	-64.556732
306.640625	-63.808311
307.617188	-65.107811
308.593750	-65.560921
309.570312	-64.101913
310.546875	-65.870712
311.523438	-66.272095
312.500000	-65.201935
313.476562	-65.968468
314.453125	-64.933640
315.429688	-65.751358
316.406250	-66.191788
317.382812	-65.989723
318.359375	-66.144318
319.335938	-67.553894
320.312500	-67.642136
321.289062	-67.705040
322.265625	-67.925995
323.242188	-67.485580
324.218750	-67.083778
325.195312	-68.429321
326.171875	-68.535896
327.148438	-67.655159
328.125000	-69.148453
329.101562	-66.835945
330.078125	-67.829697
331.054688	-67.544037
332.031250	-68.052078
333.007812	-68.402489
333.984375	-68.224098
334.960938	-68.313835
335.937500	-68.963486
336.914062	-69.172791
337.890625	-68.584511
338.867188	-69.468094
339.843750	-69.772369
340.820312	-69.164536
341.796875	-70.164299
342.773438	-69.456711
343.750000	-68.142479
344.726562	-69.754425
345.703125	-69.718246
346.679688	-69.738876
347.656250	-70.064240
348.632812	-69.628540
349.609375	-70.710220
350.585938	-71.489677
351.562500	-68.675873
352.539062	-69.500832
353.515625	-69.223305
354.492188	-69.378281
355.468750	-69.584114
356.445312	-70.603012
357.421875	-70.698105
358.398438	-72.601891
359.375000	-70.167923
360.351562	-70.760773
361.328125	-71.549606
362.304688	-71.155533
363.281250	-70.483856
364.257812	-70.424438
365.234375	-71.572601
366.210938	-72.704575
367.187500	-71.234856
368.164062	-72.110771
369.140625	-70.194572
370.117188	-71.010330
371.093750	-71.382378
372.070312	-71.553474
373.046875	-70.481773
374.023438	-70.749069
375.000000	-70.954491
375.976562	-71.258850
376.953125	-71.386803
377.929688	-71.645599
378.906250	-71.069824
379.882812	-71.172867
380.859375	-71.517288
381.835938	-71.432121
382.812500	-70.808327
383.789062	-71.633293
384.765625	-71.309418
385.742188	-71.912704
386.718750	-71.619751
387.695312	-72.332191
388.671875	-71.775764
389.648438	-70.697639
390.625000	-70.361305
391.601562	-72.558067
392.578125	-72.635475
393.554688	-71.060486
394.531250	-72.659584
395.507812	-71.876587
396.484375	-71.270844
397.460938	-72.372368
398.437500	-71.773918
399.414062	-70.962387
400.390625	-72.000404
401.367188	-71.823776
402.343750	-71.676712
403.320312	-70.571007
404.296875	-70.294159
405.273438	-73.080971
406.250000	-72.449890
407.226562	-71.523712
408.203125	-71.910065
409.179688	-72.164085
410.156250	-72.622559
411.132812	-72.189545
412.109375	-71.844048
413.085938	-70.594063
414.062500	-71.968941
415.039062	-71.898575
416.015625	-71.262260
416.992188	-71.249435
417.968750	-72.410744
418.945312	-71.343880
419.921875	-72.572884
420.898438	-70.881500
421.875000	-71.356644
422.851562	-71.351791
423.828125	-71.689766
424.804688	-70.176392
425.781250	-70.460159
426.757812	-71.330467
427.734375	-71.915901
428.710938	-72.145050
429.687500	-71.795242
430.664062	-70.961021
431.640625	-69.413368
432.617188	-71.141785
433.593750	-71.693390
434.570312	-72.052299
435.546875	-70.984001
436.523438	-71.438591
437.500000	-68.928757
438.476562	-70.485725
439.453125	-70.487373
440.429688	-71.688889
441.406250	-70.475601
442.382812	-70.475052
443.359375	-70.721672
444.335938	-70.499939
445.312500	-71.232147
446.289062	-71.058792
447.265625	-69.813416
448.242188	-70.720551
449.218750	-69.372887
450.195312	-71.129745
451.171875	-70.194702
452.148438	-70.769028
453.125000	-71.295654
454.101562	-70.332748
455.078125	-69.716225
456.054688	-69.950806
457.031250	-70.265350
458.007812	-70.037880
458.984375	-69.966080
459.960938	-69.686607
460.937500	-68.754372
461.914062	-69.803032
462.890625	-69.328018
463.867188	-69.827606
464.843750	-69.800064
465.820312	-69.497017
466.796875	-68.673538
467.773438	-69.283249
468.750000	-69.079575
469.726562	-68.145630
470.703125	-68.445183
471.679688	-69.677254
472.656250	-68.713234
473.632812	-69.392761
474.609375	-69.528320
475.585938	-70.157028
476.562500	-68.870125
477.539062	-68.870544
478.515625	-68.619667
479.492188	-69.690102
480.468750	-68.685211
481.445312	-68.156761
482.421875	-69.292526
483.398438	-67.941895
484.375000	-68.304291
485.351562	-68.367905
486.328125	-68.498070
487.304688	-68.305367
488.281250	-69.154747
489.257812	-66.538811
490.234375	-66.741470
491.210938	-67.825264
492.187500	-69.302689
493.164062	-66.351265
494.140625	-67.391701
495.117188	-67.528381
496.093750	-66.722755
497.070312	-68.441856
498.046875	-67.582352
499.023438	-67.511337
500.000000	-68.332001
500.976562	-66.280823
501.953125	-65.879852
502.929688	-67.449631
503.906250	-67.553932
504.882812	-66.936020
505.859375	-66.467018
506.835938	-65.794044
507.812500	-65.294296
508.789062	-66.987473
509.765625	-66.965584
510.742188	-65.196762
511.718750	-65.767830
512.695312	-65.299652
513.671875	-65.898117
514.648438	-65.718689
515.625000	-65.059654
516.601562	-65.267570
517.578125	-66.067657
518.554688	-64.235268
519.531250	-65.306549
520.507812	-65.174347
521.484375	-64.744034
522.460938	-64.332802
523.437500	-64.390305
524.414062	-65.175987
525.390625	-65.066849
526.367188	-64.405968
527.343750	-64.654449
528.320312	-64.245026
529.296875	-63.302742
530.273438	-64.121696
531.250000	-62.596638
532.226562	-62.163647
533.203125	-61.931667
534.179688	-62.738873
535.156250	-62.396931
536.132812	-61.723511
537.109375	-62.361839
538.085938	-62.271969
539.062500	-61.103916
540.039062	-61.536488
541.015625	-61.435726
541.992188	-60.927937
542.968750	-60.015656
543.945312	-60.759426
544.921875	-60.659389
545.898438	-60.665321
546.875000	-60.601124
547.851562	-59.268883
548.828125	-59.755619
549.804688	-60.082401
550.781250	-58.937916
551.757812	-59.591198
552.734375	-58.721699
553.710938	-58.441135
554.687500	-57.840099
555.664062	-58.112930
556.640625	-57.599091
557.617188	-57.996830
558.593750	-57.884872
559.570312	-57.574017
560.546875	-58.237389
561.523438	-58.057938
562.500000	-58.358196
563.476562	-56.895435
564.453125	-57.221275
565.429688	-58.647095
566.406250	-58.942104
567.382812	-57.743435
568.359375	-57.979939
569.335938	-58.253201
570.312500	-57.605915
571.289062	-59.037350
572.265625	-58.573772
573.242188	-58.721718
574.218750	-60.459919
575.195312	-59.556973
576.171875	-59.214828
577.148438	-58.891602
578.125000	-59.750587
579.101562	-60.611347
580.078125	-60.740273
581.054688	-60.265476
582.031250	-59.785797
583.007812	-60.007164
583.984375	-61.741745
584.960938	-61.957188
585.937500	-61.005451
586.914062	-60.565113
587.890625	-61.723007
588.867188	-61.342518
589.843750	-61.474079
590.820312	-61.421883
591.796875	-62.536804
592.773438	-61.962463
593.750000	-62.271477
594.726562	-62.828644
595.703125	-63.614845
596.679688	-62.860626
