Frequency (Hz)	Level (dB)
283.203125	-63.741222
284.179688	-65.178581
285.156250	-63.973400
286.132812	-63.835350
287.109375	-64.981339
288.085938	-63.536594
289.062500	-64.660439
290.039062	-65.191841
291.015625	-64.950241
291.992188	-65.099823
292.968750	-65.072998
293.945312	-65.075134
294.921875	-65.848709
295.898438	-66.648018
296.875000	-66.507751
297.851562	-67.442528
298.828125	-66.745514
299.804688	-66.525452
300.781250	-67.667175
301.757812	-67.379791
302.734375	-66.255356
303.710938	-67.467873
304.687500	-67.838615
305.664062	-67.348122
306.640625	-66.516876
307.617188	-67.712898
308.593750	-68.130531
309.570312	-66.275307
310.546875	-68.204979
311.523438	-68.531784
312.500000	-67.362808
313.476562	-67.923645
314.453125	-67.193924
315.429688	-67.585579
316.406250	-68.388138
317.382812	-67.797737
318.359375	-67.902313
319.335938	-69.264053
320.312500	-69.231331
321.289062	-69.322250
322.265625	-69.291252
323.242188	-69.080765
324.218750	-68.434509
325.195312	-69.530403
326.171875	-69.853668
327.148438	-68.984154
328.125000	-70.002533
329.101562	-67.703400
330.078125	-69.046394
331.054688	-68.538460
332.031250	-69.104523
333.007812	-69.293701
333.984375	-68.825974
334.960938	-69.073196
335.937500	-69.470863
336.914062	-69.618477
337.890625	-69.049606
338.867188	-69.927536
339.843750	-70.489143
340.820312	-69.632011
341.796875	-70.359993
342.773438	-69.831558
343.750000	-68.288429
344.726562	-69.972069
345.703125	-69.882721
346.679688	-69.764435
347.656250	-69.933533
348.632812	-69.546951
349.609375	-70.554665
350.585938	-71.054359
351.562500	-68.582436
352.539062	-69.359787
353.515625	-69.013191
354.492188	-68.878654
355.468750	-68.925232
356.445312	-69.944077
357.421875	-70.467026
358.398438	-71.945900
359.375000	-69.760582
360.351562	-70.140305
361.328125	-70.736610
362.304688	-70.151672
363.281250	-69.677452
364.257812	-69.828239
365.234375	-70.494476
366.210938	-71.588371
367.187500	-70.186073
368.164062	-71.166519
369.140625	-69.259750
370.117188	-69.945740
371.093750	-70.172600
372.070312	-70.029770
373.046875	-69.552536
374.023438	-69.526840
375.000000	-69.555237
375.976562	-70.007591
376.953125	-70.149574
377.929688	-70.026154
378.906250	-69.702888
379.882812	-69.405716
380.859375	-70.324425
381.835938	-70.084427
382.812500	-69.279778
383.789062	-70.343391
384.765625	-69.645615
385.742188	-70.396294
386.718750	-69.846451
387.695312	-70.525093
388.671875	-69.750946
389.648438	-68.749092
390.625000	-68.656677
391.601562	-70.572906
392.578125	-70.497047
393.554688	-69.137077
394.531250	-70.463943
395.507812	-69.467087
396.484375	-68.885834
397.460938	-70.079857
398.437500	-69.593941
399.414062	-68.772583
400.390625	-69.925323
401.367188	-69.297928
402.343750	-69.688232
403.320312	-67.728073
404.296875	-67.827934
405.273438	-70.865067
406.250000	-69.861778
407.226562	-69.089790
408.203125	-69.192703
409.179688	-69.463600
410.156250	-69.810539
411.132812	-69.321281
412.109375	-69.108826
413.085938	-67.968742
414.062500	-69.354843
415.039062	-69.157150
416.015625	-68.349213
416.992188	-68.289009
417.968750	-69.527328
418.945312	-68.529495
419.921875	-69.616783
420.898438	-67.751503
421.875000	-68.209610
422.851562	-68.191338
423.828125	-68.711212
424.804688	-66.899284
425.781250	-67.265091
426.757812	-68.030785
427.734375	-68.722710
428.710938	-68.739113
429.687500	-68.219742
430.664062	-67.680511
431.640625	-65.897331
432.617188	-67.721375
433.593750	-68.048714
434.570312	-68.231438
435.546875	-67.373962
436.523438	-67.809464
437.500000	-65.279907
438.476562	-66.967361
439.453125	-66.778877
440.429688	-67.803215
441.406250	-66.973259
442.382812	-66.856544
443.359375	-66.683701
444.335938	-66.839272
445.312500	-66.897629
446.289062	-66.900894
447.265625	-65.412827
448.242188	-66.557762
449.218750	-65.019081
450.195312	-66.955017
451.171875	-65.882530
452.148438	-66.418587
453.125000	-66.958839
454.101562	-65.813431
455.078125	-65.257973
456.054688	-65.406570
457.031250	-65.852531
458.007812	-65.512131
458.984375	-65.258934
459.960938	-64.965340
460.937500	-64.082939
461.914062	-64.959351
462.890625	-64.538544
463.867188	-64.696640
464.843750	-64.802719
465.820312	-64.425926
466.796875	-63.438305
467.773438	-63.949993
468.750000	-63.634087
469.726562	-62.590641
470.703125	-62.808159
471.679688	-64.066490
472.656250	-62.958591
473.632812	-63.567966
474.609375	-63.820831
475.585938	-64.114960
476.562500	-62.740463
477.539062	-62.770145
478.515625	-62.533634
479.492188	-63.426525
480.468750	-62.061275
481.445312	-61.440418
482.421875	-62.623917
483.398438	-61.128380
484.375000	-61.320774
485.351562	-61.307457
486.328125	-61.284298
487.304688	-61.126858
488.281250	-61.879543
489.257812	-59.040485
490.234375	-59.150848
491.210938	-60.108994
492.187500	-61.635029
493.164062	-58.185337
494.140625	-59.309631
495.117188	-59.259792
496.093750	-58.359367
497.070312	-59.938339
498.046875	-59.221882
499.023438	-58.811783
500.000000	-59.449505
500.976562	-57.368263
501.953125	-57.006317
502.929688	-58.481472
503.906250	-58.460411
504.882812	-57.902515
505.859375	-57.258671
506.835938	-56.643181
507.812500	-56.146744
508.789062	-58.072151
509.765625	-57.886791
510.742188	-56.173298
511.718750	-57.023941
512.695312	-56.557373
513.671875	-57.306984
514.648438	-57.266708
515.625000	-56.705017
516.601562	-57.034454
517.578125	-58.184566
518.554688	-56.574512
519.531250	-57.963360
520.507812	-58.069698
521.484375	-57.876701
522.460938	-57.794998
523.437500	-58.070293
524.414062	-59.140076
525.390625	-59.316307
526.367188	-59.050877
527.343750	-59.736607
528.320312	-59.527695
529.296875	-59.164436
530.273438	-60.143085
531.250000	-58.951256
532.226562	-58.947277
533.203125	-59.057270
534.179688	-60.314110
535.156250	-60.173790
536.132812	-59.905785
537.109375	-60.982128
538.085938	-61.296581
539.062500	-60.545891
540.039062	-61.239620
541.015625	-61.315025
541.992188	-61.466137
542.968750	-60.745617
543.945312	-61.952293
544.921875	-62.148544
545.898438	-62.432384
546.875000	-62.796852
547.851562	-61.767216
548.828125	-62.763363
549.804688	-63.206364
550.781250	-62.416275
551.757812	-63.558235
552.734375	-62.873905
553.710938	-62.653221
554.687500	-62.628044
555.664062	-63.176247
556.640625	-62.739563
557.617188	-63.369797
558.593750	-63.510967
559.570312	-63.437767
560.546875	-64.282166
561.523438	-64.424339
562.500000	-64.615761
563.476562	-63.282711
564.453125	-63.652908
565.429688	-65.355774
566.406250	-65.597733
567.382812	-64.343048
568.359375	-64.682686
569.335938	-64.954567
570.312500	-64.197929
571.289062	-65.555176
572.265625	-65.255074
573.242188	-65.141327
574.218750	-66.836441
575.195312	-65.592583
576.171875	-65.558998
577.148438	-64.956413
578.125000	-65.675995
579.101562	-66.375008
580.078125	-66.335022
581.054688	-65.642357
582.031250	-65.162399
583.007812	-65.502777
583.984375	-66.799103
584.960938	-66.886124
585.937500	-65.684380
586.914062	-65.107887
587.890625	-66.141731
588.867188	-65.680367
589.843750	-65.660843
590.820312	-65.545692
591.796875	-66.528046
592.773438	-65.864151
593.750000	-65.866951
594.726562	-66.378136
595.703125	-67.089653
596.679688	-66.113403
597.656250	-66.209633
598.632812	-66.862946
599.609375	-65.547287
600.585938	-66.623085
601.562500	-66.306160
602.539062	-66.355698
603.515625	-66.936699
604.492188	-67.197922
605.468750	-66.913300
606.445312	-66.853333
607.421875	-65.923279
608.398438	-68.252640
609.375000	-67.027695
610.351562	-65.932655
611.328125	-67.547417
612.304688	-66.583000
613.281250	-67.976662
614.257812	-66.718765
615.234375	-66.613358
616.210938	-66.751274
617.187500	-66.894882
618.164062	-66.844658
619.140625	-67.693085
620.117188	-66.980049
621.093750	-67.065315
622.070312	-66.716431
623.046875	-67.114655
624.023438	-67.116920
625.000000	-66.395996
625.976562	-67.127235
626.953125	-67.017357
627.929688	-67.225868
628.906250	-68.151573
629.882812	-67.450462
630.859375	-67.378189
631.835938	-67.592155
632.812500	-66.705864
633.789062	-66.645973
634.765625	-68.274635
635.742188	-66.611465
636.718750	-66.683167
637.695312	-67.556778
638.671875	-66.428139
639.648438	-66.845390
640.625000	-67.197952
641.601562	-67.559372
642.578125	-66.487526
643.554688	-66.490158
644.531250	-66.488281
645.507812	-66.029823
646.484375	-67.673866
647.460938	-67.749550
648.437500	-66.224915
649.414062	-66.703217
650.390625	-67.167671
651.367188	-65.998238
652.343750	-65.481041
653.320312	-66.459137
654.296875	-66.440201
655.273438	-66.444389
656.250000	-67.222061
657.226562	-67.525772
658.203125	-66.465561
659.179688	-67.371323
660.156250	-66.675781
661.132812	-66.919899
662.109375	-66.699142
663.085938	-65.595993
664.062500	-65.814919
665.039062	-65.370781
666.015625	-65.857185
666.992188	-67.419868
667.968750	-66.850212
668.945312	-66.451630
669.921875	-66.478294
670.898438	-66.085739
671.875000	-65.506294
672.851562	-65.094833
673.828125	-66.220787
674.804688	-66.287788
675.781250	-67.385841
676.757812	-65.319542
677.734375	-65.983643
678.710938	-66.043549
679.687500	-66.253860
680.664062	-64.237221
681.640625	-64.012009
682.617188	-64.305458
683.593750	-64.096420
684.570312	-64.750145
685.546875	-64.231140
686.523438	-64.848236
687.500000	-65.123825
688.476562	-64.605858
689.453125	-63.770058
690.429688	-65.564095
691.406250	-65.040627
692.382812	-64.107079
693.359375	-63.959839
694.335938	-64.296570
695.312500	-64.729156
696.289062	-65.687752
697.265625	-63.401001
698.242188	-63.603493
699.218750	-64.489334
700.195312	-63.603146
701.171875	-62.683422
702.148438	-63.204994
703.125000	-62.598991
704.101562	-61.886482
705.078125	-62.805447
706.054688	-62.199596
707.031250	-62.520294
708.007812	-62.782001
708.984375	-62.395084
709.960938	-62.685295
710.937500	-61.302673
711.914062	-61.150360
712.890625	-61.944340
713.867188	-60.280933
714.843750	-61.900810
715.820312	-60.705872
716.796875	-61.098263
717.773438	-60.790710
718.750000	-60.600716
719.726562	-61.173126
720.703125	-60.662586
721.679688	-59.939690
722.656250	-60.531979
723.632812	-60.000656
724.609375	-59.668697
725.585938	-58.884338
726.562500	-59.108509
727.539062	-60.154907
728.515625	-59.426525
729.492188	-60.287884
730.468750	-59.030510
731.445312	-58.477413
732.421875	-59.178822
733.398438	-59.468506
734.375000	-57.892311
735.351562	-59.175171
736.328125	-59.108974
737.304688	-58.881638
738.281250	-57.931301
739.257812	-57.707466
740.234375	-57.862831
741.210938	-58.899075
742.187500	-56.855919
743.164062	-56.693207
744.140625	-58.563721
745.117188	-57.533829
746.093750	-57.362934
747.070312	-57.493275
748.046875	-57.384682
749.023438	-58.400730
750.000000	-58.479065
750.976562	-57.549095
751.953125	-57.253216
752.929688	-58.548744
753.906250	-58.274361
754.882812	-57.578369
755.859375	-57.738647
756.835938	-58.433666
757.812500	-58.045498
758.789062	-57.757915
759.765625	-57.228985
760.742188	-57.753361
761.718750	-57.962585
762.695312	-58.056545
763.671875	-58.141125
764.648438	-57.045181
765.625000	-57.951851
766.601562	-58.189663
767.578125	-58.205204
768.554688	-57.156937
769.531250	-57.755329
770.507812	-57.539181
771.484375	-57.953636
772.460938	-59.280602
773.437500	-58.493477
774.414062	-58.328068
775.390625	-57.180893
776.367188	-58.860821
777.343750	-58.133457
778.320312	-58.042480
779.296875	-58.488693
780.273438	-59.716908
781.250000	-59.974503
782.226562	-59.537121
783.203125	-58.663090
784.179688	-58.371197
785.156250	-58.294022
786.132812	-58.457176
787.109375	-58.858612
788.085938	-57.490711
789.062500	-58.793209
790.039062	-59.083908
791.015625	-60.107193
791.992188	-58.420601
792.968750	-58.898521
793.945312	-58.694187
794.921875	-59.474808
795.898438	-59.368507
796.875000	-59.148544
797.851562	-58.784931
798.828125	-58.451828
799.804688	-58.185760
800.781250	-59.506634
801.757812	-59.681828
802.734375	-59.987656
803.710938	-59.951038
804.687500	-60.751369
805.664062	-60.111977
806.640625	-60.639893
807.617188	-60.294289
808.593750	-59.968128
809.570312	-60.036182
810.546875	-60.783798
811.523438	-61.880901
812.500000	-61.220604
813.476562	-60.206993
814.453125	-61.113579
815.429688	-61.398960
816.406250	-60.567223
817.382812	-61.834824
818.359375	-60.673496
819.335938	-61.638313
820.312500	-61.192707
821.289062	-61.850925
822.265625	-62.694221
823.242188	-61.454430
824.218750	-62.137333
825.195312	-61.972744
826.171875	-62.860809
827.148438	-61.213013
828.125000	-62.924698
829.101562	-62.951847
830.078125	-62.778275
831.054688	-62.677071
832.031250	-62.167362
833.007812	-62.852928
833.984375	-62.861935
834.960938	-63.421383
835.937500	-63.317677
836.914062	-62.839310
837.890625	-63.985710
838.867188	-63.371346
839.843750	-64.371704
840.820312	-64.180336
841.796875	-63.048492
842.773438	-63.425255
