Frequency (Hz)	Level (dB)
283.203125	-57.616982
284.179688	-59.112743
285.156250	-57.995052
286.132812	-58.102501
287.109375	-59.336708
288.085938	-58.023472
289.062500	-59.038933
290.039062	-59.608456
291.015625	-59.747814
291.992188	-60.107868
292.968750	-60.203323
293.945312	-60.030743
294.921875	-61.070908
295.898438	-62.214161
296.875000	-61.842896
297.851562	-63.013409
298.828125	-62.513550
299.804688	-62.373161
300.781250	-63.374889
301.757812	-63.412880
302.734375	-62.209652
303.710938	-63.472633
304.687500	-64.400566
305.664062	-63.684048
306.640625	-62.841587
307.617188	-64.200272
308.593750	-64.627373
309.570312	-63.209301
310.546875	-65.071373
311.523438	-65.259972
312.500000	-64.352394
313.476562	-65.313232
314.453125	-64.170013
315.429688	-64.914665
316.406250	-65.381584
317.382812	-65.216133
318.359375	-65.337029
319.335938	-66.936378
320.312500	-66.794884
321.289062	-66.801506
322.265625	-67.129570
323.242188	-66.685616
324.218750	-66.453102
325.195312	-67.637428
326.171875	-67.976036
327.148438	-66.806808
328.125000	-68.166168
329.101562	-66.041580
330.078125	-67.049004
331.054688	-66.692299
332.031250	-67.163322
333.007812	-67.526314
333.984375	-67.271080
334.960938	-67.592926
335.937500	-68.041916
336.914062	-68.250908
337.890625	-67.707603
338.867188	-68.733368
339.843750	-69.051361
340.820312	-68.306404
341.796875	-69.219315
342.773438	-68.688385
343.750000	-67.412506
344.726562	-68.940292
345.703125	-68.898338
346.679688	-69.073700
347.656250	-69.300911
348.632812	-68.941887
349.609375	-70.031181
350.585938	-70.790283
351.562500	-67.783348
352.539062	-68.601044
353.515625	-68.399223
354.492188	-68.490341
355.468750	-68.909966
356.445312	-69.856758
357.421875	-69.932487
358.398438	-71.767738
359.375000	-69.334389
360.351562	-70.047043
361.328125	-70.930305
362.304688	-70.233337
363.281250	-69.537727
364.257812	-69.615242
365.234375	-70.794449
366.210938	-71.861298
367.187500	-70.565048
368.164062	-71.161148
369.140625	-69.390480
370.117188	-70.255592
371.093750	-70.604370
372.070312	-70.707939
373.046875	-69.599213
374.023438	-69.962341
375.000000	-70.128151
375.976562	-70.547516
376.953125	-70.744186
377.929688	-70.841049
378.906250	-70.184883
379.882812	-70.345039
380.859375	-70.726418
381.835938	-70.669479
382.812500	-70.061295
383.789062	-70.783501
384.765625	-70.616905
385.742188	-71.071617
386.718750	-70.882797
387.695312	-71.459930
388.671875	-71.144257
389.648438	-69.847191
390.625000	-69.642838
391.601562	-71.902702
392.578125	-72.083740
393.554688	-70.300934
394.531250	-71.836975
395.507812	-71.071449
396.484375	-70.635353
397.460938	-71.634941
398.437500	-70.942398
399.414062	-70.130959
400.390625	-71.214523
401.367188	-71.036591
