Frequency (Hz)	Level (dB)
283.203125	-59.070816
284.179688	-60.588158
285.156250	-59.396420
286.132812	-59.538357
287.109375	-60.808426
288.085938	-59.348705
289.062500	-60.490837
290.039062	-61.013996
291.015625	-61.104725
291.992188	-61.426983
292.968750	-61.379204
293.945312	-61.390068
294.921875	-62.337032
295.898438	-63.324841
296.875000	-63.029705
297.851562	-64.130341
298.828125	-63.681866
299.804688	-63.591965
300.781250	-64.518478
301.757812	-64.473267
302.734375	-63.295975
303.710938	-64.516281
304.687500	-65.257774
305.664062	-64.683983
306.640625	-63.950344
307.617188	-65.172722
308.593750	-65.584145
309.570312	-64.069702
310.546875	-65.919434
311.523438	-66.166504
312.500000	-65.198830
313.476562	-66.096230
314.453125	-65.079605
315.429688	-65.839813
316.406250	-66.154762
317.382812	-65.911957
318.359375	-66.088531
319.335938	-67.936234
320.312500	-67.619522
321.289062	-67.633026
322.265625	-67.835617
323.242188	-67.367470
324.218750	-67.121918
325.195312	-68.332611
326.171875	-68.697113
327.148438	-67.465416
328.125000	-68.894958
329.101562	-66.810326
330.078125	-67.591454
331.054688	-67.332649
332.031250	-67.840813
333.007812	-68.096512
333.984375	-67.876625
334.960938	-68.117615
335.937500	-68.664352
336.914062	-68.747238
337.890625	-68.293747
338.867188	-69.435188
339.843750	-69.621651
340.820312	-68.813446
341.796875	-69.803253
342.773438	-69.114670
343.750000	-67.870583
344.726562	-69.315407
345.703125	-69.303635
346.679688	-69.382370
347.656250	-69.683769
348.632812	-69.319435
349.609375	-70.441269
350.585938	-71.185684
351.562500	-68.260521
352.539062	-68.961693
353.515625	-68.896866
354.492188	-68.813507
355.468750	-69.106674
356.445312	-70.053307
357.421875	-70.301796
358.398438	-72.028481
359.375000	-69.706825
360.351562	-70.179962
361.328125	-71.224609
362.304688	-70.529510
363.281250	-69.820480
364.257812	-69.847130
365.234375	-71.013596
366.210938	-72.006821
367.187500	-70.694931
368.164062	-71.561378
369.140625	-69.610916
370.117188	-70.431656
371.093750	-70.837646
372.070312	-70.968704
373.046875	-69.950005
374.023438	-70.282990
375.000000	-70.360649
375.976562	-70.700478
376.953125	-71.047737
377.929688	-71.088280
378.906250	-70.263779
379.882812	-70.622124
380.859375	-70.865524
381.835938	-70.892265
382.812500	-70.262276
