Frequency (Hz)	Level (dB)
283.203125	-61.375866
284.179688	-61.577450
285.156250	-61.815041
286.132812	-61.274399
287.109375	-62.358719
288.085938	-60.800102
289.062500	-62.689823
290.039062	-62.030174
291.015625	-62.234581
291.992188	-63.070606
292.968750	-62.812153
293.945312	-63.805202
294.921875	-63.387604
295.898438	-63.007416
296.875000	-63.824890
297.851562	-63.792656
298.828125	-63.664024
299.804688	-63.982265
300.781250	-64.409508
301.757812	-63.334579
302.734375	-64.117584
303.710938	-63.577595
304.687500	-64.086113
305.664062	-62.629734
306.640625	-62.373920
307.617188	-64.010178
308.593750	-63.116600
309.570312	-63.486115
310.546875	-64.085587
311.523438	-64.780029
312.500000	-63.175190
313.476562	-64.727264
314.453125	-63.933784
315.429688	-62.919548
316.406250	-64.419510
317.382812	-64.233940
318.359375	-63.197544
319.335938	-63.963139
320.312500	-64.167603
321.289062	-63.607044
322.265625	-64.518684
323.242188	-63.790276
324.218750	-63.132221
325.195312	-63.968555
326.171875	-64.965942
327.148438	-64.058380
328.125000	-64.615662
329.101562	-63.358200
330.078125	-63.449688
331.054688	-63.616753
332.031250	-63.882542
333.007812	-63.531200
333.984375	-64.054794
334.960938	-63.315289
335.937500	-64.469017
336.914062	-62.890453
337.890625	-63.105885
338.867188	-63.449032
339.843750	-64.200310
340.820312	-61.764843
341.796875	-63.440147
342.773438	-64.445183
343.750000	-62.755253
344.726562	-63.568157
345.703125	-62.388359
346.679688	-63.234398
347.656250	-63.080338
348.632812	-61.767506
349.609375	-62.707619
350.585938	-62.919113
351.562500	-61.791702
352.539062	-61.780327
353.515625	-61.332859
354.492188	-60.720303
355.468750	-61.389793
356.445312	-61.526905
357.421875	-61.242844
358.398438	-61.594254
359.375000	-61.065136
360.351562	-60.986202
361.328125	-61.497921
362.304688	-60.713333
363.281250	-60.120663
364.257812	-60.597729
365.234375	-60.045727
366.210938	-60.192898
367.187500	-60.005627
368.164062	-59.698235
369.140625	-58.136009
370.117188	-58.173531
371.093750	-58.155743
372.070312	-57.176514
373.046875	-56.569767
374.023438	-56.264824
375.000000	-55.388798
375.976562	-55.662968
376.953125	-55.664902
377.929688	-55.090374
378.906250	-54.189636
379.882812	-54.075314
380.859375	-54.412354
381.835938	-54.355816
382.812500	-53.661331
383.789062	-54.855896
384.765625	-54.348553
385.742188	-56.020412
386.718750	-55.104832
387.695312	-56.007957
388.671875	-55.834156
389.648438	-55.337334
390.625000	-55.979263
391.601562	-58.627911
392.578125	-59.001106
393.554688	-56.910454
394.531250	-57.816292
395.507812	-58.896473
396.484375	-58.238190
397.460938	-59.167694
398.437500	-59.580624
399.414062	-58.454849
400.390625	-58.828457
401.367188	-59.463562
402.343750	-59.010578
403.320312	-59.438946
404.296875	-58.229355
405.273438	-61.356529
406.250000	-60.341431
407.226562	-60.413929
408.203125	-59.900215
409.179688	-60.527855
410.156250	-61.619415
411.132812	-60.834728
412.109375	-61.735264
413.085938	-59.262131
414.062500	-61.647175
415.039062	-61.458412
416.015625	-61.110920
416.992188	-61.186043
417.968750	-62.021603
418.945312	-60.653996
419.921875	-61.910316
420.898438	-60.623024
421.875000	-61.143608
422.851562	-60.971104
423.828125	-62.460495
424.804688	-60.800701
425.781250	-60.193645
426.757812	-61.929565
427.734375	-62.084526
428.710938	-62.276649
429.687500	-63.204380
430.664062	-62.313091
431.640625	-61.034565
432.617188	-61.905746
433.593750	-63.215141
434.570312	-63.052197
435.546875	-63.068249
436.523438	-62.421787
437.500000	-62.419559
438.476562	-61.375797
439.453125	-62.396145
440.429688	-63.419041
441.406250	-62.720425
442.382812	-62.483639
443.359375	-62.510349
444.335938	-61.966328
445.312500	-62.867302
446.289062	-63.360832
447.265625	-61.958660
448.242188	-63.549274
449.218750	-61.987732
450.195312	-63.971058
451.171875	-63.358974
452.148438	-63.832710
453.125000	-63.273239
454.101562	-63.748177
455.078125	-62.611671
456.054688	-63.700329
457.031250	-62.296101
458.007812	-63.575825
458.984375	-63.509850
459.960938	-62.324837
460.937500	-62.489861
461.914062	-62.581810
462.890625	-62.562107
463.867188	-62.729450
464.843750	-62.643517
465.820312	-62.365868
466.796875	-62.585102
467.773438	-62.430588
468.750000	-62.158089
469.726562	-61.697418
470.703125	-62.159801
471.679688	-62.484581
472.656250	-61.704952
473.632812	-62.825764
