Frequency (Hz)	Level (dB)
283.203125	-79.291229
284.179688	-80.608612
285.156250	-79.461121
286.132812	-79.096085
287.109375	-80.169930
288.085938	-78.338524
289.062500	-79.436081
290.039062	-79.706291
291.015625	-79.521294
291.992188	-79.349106
292.968750	-79.377281
293.945312	-79.065712
294.921875	-79.885811
295.898438	-80.524300
296.875000	-79.878181
297.851562	-80.713570
298.828125	-79.953049
299.804688	-79.828926
300.781250	-80.955711
301.757812	-80.278275
302.734375	-78.944862
303.710938	-79.940445
304.687500	-80.434334
305.664062	-79.803001
306.640625	-78.855049
307.617188	-80.031189
308.593750	-80.372429
309.570312	-78.565933
310.546875	-80.408188
311.523438	-80.646576
312.500000	-79.348907
313.476562	-79.668037
314.453125	-78.819191
315.429688	-79.223312
316.406250	-79.139046
317.382812	-78.950211
318.359375	-78.999367
319.335938	-80.971565
320.312500	-80.452019
321.289062	-80.051491
322.265625	-80.434738
323.242188	-79.859482
324.218750	-79.594002
325.195312	-80.401024
326.171875	-80.710167
327.148438	-79.641991
328.125000	-80.838081
329.101562	-78.426247
330.078125	-79.357895
331.054688	-78.868645
332.031250	-79.390892
333.007812	-79.509789
333.984375	-79.158890
334.960938	-79.212906
335.937500	-79.937904
336.914062	-79.461761
337.890625	-79.077988
338.867188	-80.139908
339.843750	-80.341240
340.820312	-79.555061
341.796875	-80.204353
342.773438	-79.303787
343.750000	-78.634895
344.726562	-79.733368
345.703125	-79.379021
346.679688	-79.601631
347.656250	-79.730759
348.632812	-79.336617
349.609375	-80.343849
350.585938	-80.830353
351.562500	-78.234779
352.539062	-78.716408
353.515625	-78.305115
354.492188	-78.500092
355.468750	-78.938156
356.445312	-79.558273
357.421875	-79.750511
358.398438	-81.299515
359.375000	-79.144745
360.351562	-79.446693
361.328125	-80.477173
362.304688	-79.917168
363.281250	-79.201981
364.257812	-79.160690
365.234375	-80.371712
366.210938	-81.151962
367.187500	-79.668587
368.164062	-80.566719
369.140625	-78.529274
370.117188	-79.334099
371.093750	-79.759903
372.070312	-79.613007
373.046875	-78.704475
374.023438	-79.042877
375.000000	-79.193649
375.976562	-79.569489
376.953125	-79.822441
377.929688	-79.937553
378.906250	-78.921890
379.882812	-78.916496
380.859375	-79.778656
381.835938	-79.663147
382.812500	-78.786629
383.789062	-79.654282
384.765625	-79.107155
385.742188	-79.756279
386.718750	-79.394440
387.695312	-79.932487
388.671875	-79.732727
389.648438	-78.317947
390.625000	-78.536652
391.601562	-80.429291
392.578125	-80.387039
393.554688	-78.553581
394.531250	-80.091873
